Ticker,Name,Sub_Industry_Orig,Sub_Industry,Industry,Industry_Group,Sector,Market_Cap
A,"Agilent Technologies, Inc.",Diagnostics & Research,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,29.29B
AA,Alcoa Corporation,Aluminum,Aluminum,Metals & Mining,Materials,Materials,6.50B
AACB,Artius II Acquisition Inc.,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,269.85M
AACG,ATA Creativity Global,Education & Training Services,Education Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary,30.25M
AACT,Ares Acquisition Corporation II,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,700.00M
AAL,American Airlines Group Inc.,Airlines,Passenger Airlines,Passenger Airlines,Transportation,Industrials,6.19B
AAM,AA Mission Acquisition Corp.,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,452.05M
AAME,Atlantic American Corporation,Insurance - Life,Life & Health Insurance,Insurance,Insurance,Financials,29.18M
AAMI,Acadian Asset Management Inc.,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,990.53M
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology,522.35M
AAON,"AAON, Inc.",Building Products & Equipment,Building Products,Building Products,Capital Goods,Industrials,6.54B
AAP,"Advance Auto Parts, Inc.",Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,1.85B
AAPG,Ascentage Pharma Group International,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,1.63B
AAPL,Apple Inc.,Consumer Electronics,Consumer Electronics,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,"2,918.34B"
AARD,"Aardvark Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,162.72M
AAT,"American Assets Trust, Inc.",REIT - Diversified,Diversified REITs,Diversified REITs,Equity Real Estate Investment Trusts,Real Estate,1.46B
AB,AllianceBernstein Holding L.P.,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,4.09B
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,Diversified Metals & Mining,Metals & Mining,Materials,Materials,90.58M
ABBV,AbbVie Inc.,Drug Manufacturers - General,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,303.75B
ABCB,Ameris Bancorp,Banks - Regional,Regional Banks,Banks,Banks,Financials,3.64B
ABCL,AbCellera Biologics Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,710.70M
ABEO,Abeona Therapeutics Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,235.15M
ABEV,Ambev S.A.,Beverages - Brewers,Brewers,Beverages,"Food, Beverage & Tobacco",Consumer Staples,36.35B
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,Automotive Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,4.23B
ABL,"Abacus Global Management, Inc.",Insurance - Life,Life & Health Insurance,Insurance,Insurance,Financials,766.44M
ABLV,Able View Global Inc.,Advertising Agencies,Advertising,Media,Media & Entertainment,Communication Services,42.89M
ABM,ABM Industries Incorporated,Specialty Business Services,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,2.87B
ABNB,"Airbnb, Inc.",Travel Services,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,69.99B
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,59.36M
ABP,"Abpro Holdings, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,12.20M
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,Mortgage REITs,"Mortgage Real Estate Investment
Trusts",Financial Services,Financials,2.21B
ABSI,Absci Corporation,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,397.28M
ABT,Abbott Laboratories,Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,224.91B
ABTS,Abits Group Inc.,Capital Markets,Diversified Capital Markets,Capital Markets,Financial Services,Financials,4.60M
ABUS,Arbutus Biopharma Corporation,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,605.08M
ABVC,"ABVC BioPharma, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,12.06M
ABVE,Above Food Ingredients Inc.,Packaged Foods,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",Consumer Staples,15.13M
ABVX,ABIVAX Société Anonyme,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,378.05M
AC,"Associated Capital Group, Inc.",Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,714.95M
ACA,"Arcosa, Inc.",Engineering & Construction,Construction & Engineering,Construction & Engineering,Capital Goods,Industrials,3.76B
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,2.42B
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,232.65M
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,Office Services & Supplies,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,324.36M
ACCS,ACCESS Newswire Inc.,Advertising Agencies,Advertising,Media,Media & Entertainment,Communication Services,32.63M
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy,724.01M
ACEL,"Accel Entertainment, Inc.",Gambling,Casinos & Gaming,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,960.00M
ACET,"Adicet Bio, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,47.16M
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,Multi-line Insurance,Insurance,Insurance,Financials,34.60B
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,Marine Transportation,Marine Transportation,Transportation,Industrials,2.19B
ACHR,Archer Aviation Inc.,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,Capital Goods,Industrials,3.82B
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,73.36M
ACI,"Albertsons Companies, Inc.",Grocery Stores,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,12.25B
ACIC,American Coastal Insurance Corporation,Insurance - Property & Casualty,Property & Casualty Insurance,Insurance,Insurance,Financials,539.90M
ACIU,AC Immune SA,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,148.41M
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,5.47B
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,1.44B
ACLX,"Arcellx, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,3.33B
ACM,AECOM,Engineering & Construction,Construction & Engineering,Construction & Engineering,Capital Goods,Industrials,12.36B
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,1.25B
ACN,Accenture plc,Information Technology Services,IT Consulting & Other Services,IT Services,Software & Services,Information Technology,178.64B
ACNB,ACNB Corporation,Banks - Regional,Regional Banks,Banks,Banks,Financials,425.40M
ACNT,Ascent Industries Co.,Steel,Steel,Metals & Mining,Materials,Materials,128.60M
ACOG,Alpha Cognition Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,69.05M
ACON,"Aclarion, Inc.",Health Information Services,Health Care Services,Health Care Providers & Services,Health Care Equipment & Services,Health Care,5.22M
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,Mortgage REITs,"Mortgage Real Estate Investment
Trusts",Financial Services,Financials,120.70M
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,Mortgage REITs,"Mortgage Real Estate Investment
Trusts",Financial Services,Financials,192.13M
ACRS,"Aclaris Therapeutics, Inc.",Diagnostics & Research,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,121.95M
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,58.00M
ACT,"Enact Holdings, Inc.",Insurance - Specialty,Life & Health Insurance,Insurance,Insurance,Financials,5.24B
ACTG,Acacia Research Corporation,Business Equipment & Supplies,Office Services & Supplies,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,281.53M
ACTU,"Actuate Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,159.18M
ACU,Acme United Corporation,Household & Personal Products,Household Products,Household Products,Household & Personal Products,Consumer Staples,153.11M
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,Automotive Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,2.39B
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,8.60M
ADAG,Adagene Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,71.61M
ADAP,Adaptimmune Therapeutics plc,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,61.74M
ADBE,Adobe Inc.,Software - Application,Application Software,Software,Software & Services,Information Technology,146.69B
ADC,Agree Realty Corporation,REIT - Retail,Retail REITs,Retail REITs,Equity Real Estate Investment Trusts,Real Estate,8.38B
ADCT,ADC Therapeutics SA,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,114.94M
ADD,"Color Star Technology Co., Ltd.",Entertainment,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services,2.32M
ADEA,Adeia Inc.,Software - Application,Application Software,Software,Software & Services,Information Technology,1.30B
ADGM,"Adagio Medical Holdings, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,14.20M
ADI,"Analog Devices, Inc.",Semiconductors,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,87.27B
ADIL,"Adial Pharmaceuticals, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,4.61M
ADM,Archer-Daniels-Midland Company,Farm Products,Agricultural Products & Services,Food Products,"Food, Beverage & Tobacco",Consumer Staples,22.16B
ADMA,"ADMA Biologics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,5.04B
ADN,"Advent Technologies Holdings, Inc.",Electrical Equipment & Parts,Electrical Components & Equipment,Electrical Equipment,Capital Goods,Industrials,7.28M
ADNT,Adient plc,Auto Parts,Automotive Parts & Equipment,Automobile Components,Automobiles & Components,Consumer Discretionary,919.90M
ADP,"Automatic Data Processing, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,119.68B
ADPT,Adaptive Biotechnologies Corporation,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,1.11B
ADSE,ADS-TEC Energy PLC,Electrical Equipment & Parts,Electrical Components & Equipment,Electrical Equipment,Capital Goods,Industrials,640.95M
ADSK,"Autodesk, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,55.42B
ADT,ADT Inc.,Security & Protection Services,Security & Alarm Services,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,6.74B
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology,595.76M
ADTX,"Aditxt, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,2.52M
ADUR,Aduro Clean Technologies Inc.,Pollution & Treatment Controls,Diversified Support Services,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,130.25M
ADUS,Addus HomeCare Corporation,Medical Care Facilities,Marine Transportation,Marine Transportation,Transportation,Industrials,1.81B
ADV,Advantage Solutions Inc.,Advertising Agencies,Advertising,Media,Media & Entertainment,Communication Services,406.58M
ADVB,Advanced Biomed Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,41.55M
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,62.41M
ADXN,Addex Therapeutics Ltd,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,6.00M
AEE,Ameren Corporation,Utilities - Regulated Electric,Electric Utilities,Electric Utilities,Utilities,Utilities,26.48B
AEG,Aegon Ltd.,Insurance - Diversified,Multi-line Insurance,Insurance,Insurance,Financials,9.75B
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,Building Products,Building Products,Capital Goods,Industrials,2.42M
AEHR,"Aehr Test Systems, Inc.",Semiconductor Equipment & Materials,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,243.38M
AEI,Alset Inc.,Real Estate - Development,Real Estate Development,Real Estate Management & Development,Real Estate Management & Development,Real Estate,8.80M
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,Electrical Components & Equipment,Electrical Equipment,Capital Goods,Industrials,3.23B
AEM,Agnico Eagle Mines Limited,Gold,Gold,Metals & Mining,Materials,Materials,61.56B
AEMD,"Aethlon Medical, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,5.08M
AENT,Alliance Entertainment Holding Corporation,Entertainment,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services,146.76M
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,Apparel Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,1.77B
AEON,"AEON Biopharma, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,4.16M
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,Electric Utilities,Electric Utilities,Utilities,Utilities,56.43B
AER,AerCap Holdings N.V.,Rental & Leasing Services,Specialized Consumer Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary,17.15B
AERT,"Aeries Technology, Inc",Consulting Services,Research & Consulting Services,Professional Services,Commercial  & Professional Services,Industrials,32.08M
AES,The AES Corporation,Utilities - Diversified,Multi-Utilities,Multi-Utilities,Utilities,Utilities,7.09B
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy,1.69B
AEVA,"Aeva Technologies, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,390.93M
AEYE,"AudioEye, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,141.38M
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,Regional Banks,Banks,Banks,Financials,114.65M
AFCG,Advanced Flower Capital Inc.,REIT - Mortgage,Mortgage REITs,"Mortgage Real Estate Investment
Trusts",Financial Services,Financials,113.21M
AFG,"American Financial Group, Inc.",Insurance - Property & Casualty,Property & Casualty Insurance,Insurance,Insurance,Financials,10.71B
AFJK,"Aimei Health Technology Co., Ltd",Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,88.29M
AFL,Aflac Incorporated,Insurance - Life,Life & Health Insurance,Insurance,Insurance,Financials,58.65B
AFMD,Affimed N.V.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,12.04M
AFRI,Forafric Global PLC,Farm Products,Agricultural Products & Services,Food Products,"Food, Beverage & Tobacco",Consumer Staples,228.47M
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,13.06B
AFYA,Afya Limited,Education & Training Services,Education Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary,1.61B
AG,First Majestic Silver Corp.,Silver,Silver,Metals & Mining,Materials,Materials,3.20B
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services,44.11M
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,Agricultural & Farm Machinery,Machinery,Capital Goods,Industrials,5.99B
AGEN,Agenus Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,41.76M
AGFY,Agrify Corporation,Farm & Heavy Construction Machinery,Agricultural & Farm Machinery,Machinery,Capital Goods,Industrials,35.62M
AGH,Aureus Greenway Holdings Inc.,Leisure,Leisure Facilities,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,9.16M
AGI,Alamos Gold Inc.,Gold,Gold,Metals & Mining,Materials,Materials,12.49B
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,1.56B
AGL,"agilon health, inc.",Medical Care Facilities,Marine Transportation,Marine Transportation,Transportation,Industrials,2.25B
AGM,Federal Agricultural Mortgage Corporation,Credit Services,Specialized Finance,Financial Services,Financial Services,Financials,1.84B
AGM.A,Federal Agricultural Mortgage Corporation,Credit Services,Specialized Finance,Financial Services,Financial Services,Financials,1.81B
AGMH,AGM Group Holdings Inc.,Computer Hardware,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,Information Technology,1.28M
AGNC,AGNC Investment Corp.,REIT - Mortgage,Mortgage REITs,"Mortgage Real Estate Investment
Trusts",Financial Services,Financials,7.60B
AGO,Assured Guaranty Ltd.,Insurance - Specialty,Life & Health Insurance,Insurance,Insurance,Financials,4.13B
AGRI,AgriFORCE Growing Systems Ltd.,Farm Products,Agricultural Products & Services,Food Products,"Food, Beverage & Tobacco",Consumer Staples,2.21M
AGRO,Adecoagro S.A.,Farm Products,Agricultural Products & Services,Food Products,"Food, Beverage & Tobacco",Consumer Staples,1.12B
AGS,"PlayAGS, Inc.",Gambling,Casinos & Gaming,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,493.24M
AGX,"Argan, Inc.",Engineering & Construction,Construction & Engineering,Construction & Engineering,Capital Goods,Industrials,2.03B
AGYS,"Agilysys, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,1.90B
AHCO,AdaptHealth Corp.,Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,1.06B
AHG,Akso Health Group,Medical Distribution,Health Care Distributors,Health Care Providers & Services,Health Care Equipment & Services,Health Care,360.33M
AHH,"Armada Hoffler Properties, Inc.",REIT - Diversified,Diversified REITs,Diversified REITs,Equity Real Estate Investment Trusts,Real Estate,666.69M
AHR,"American Healthcare REIT, Inc.",REIT - Healthcare Facilities,Health Care REITs,Health Care REITs,Equity Real Estate Investment Trusts,Real Estate,4.85B
AHT,"Ashford Hospitality Trust, Inc.",REIT - Hotel & Motel,Hotel & Resort REITs,Hotel & Resort REITs,Equity Real Estate Investment Trusts,Real Estate,34.72M
AI,"C3.ai, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,2.57B
AIEV,"Thunder Power Holdings, Inc.",Auto Manufacturers,Automobile Manufacturers,Automobiles,Automobiles & Components,Consumer Discretionary,10.04M
AIFE,Aifeex Nexus Acquisition Corporation,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,110.48M
AIFF,"Firefly Neuroscience, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,34.87M
AIFU,AIX Inc.,Insurance Brokers,Insurance Brokers,Insurance,Insurance,Financials,7.50M
AIG,"American International Group, Inc.",Insurance - Diversified,Multi-line Insurance,Insurance,Insurance,Financials,48.04B
AIHS,Senmiao Technology Limited,Credit Services,Specialized Finance,Financial Services,Financial Services,Financials,9.06M
AIMAU,Aimfinity Investment Corp. I,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,103.19M
AIMD,"Ainos, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,8.34M
AIN,Albany International Corp.,Textile Manufacturing,Textiles,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,Consumer Discretionary,1.95B
AIOT,"PowerFleet, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,627.18M
AIP,"Arteris, Inc.",Semiconductors,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,242.82M
AIR,AAR Corp.,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,Capital Goods,Industrials,1.87B
AIRE,reAlpha Tech Corp.,Real Estate Services,Real Estate Services,Real Estate Management & Development,Real Estate Management & Development,Real Estate,29.87M
AIRG,"Airgain, Inc.",Communication Equipment,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology,41.03M
AIRI,Air Industries Group,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,Capital Goods,Industrials,11.38M
AIRJ,AirJoule Technologies Corporation,Building Products & Equipment,Building Products,Building Products,Capital Goods,Industrials,271.59M
AIRS,"AirSculpt Technologies, Inc.",Medical Care Facilities,Marine Transportation,Marine Transportation,Transportation,Industrials,93.72M
AIRT,"Air T, Inc.",Conglomerates,Industrial Conglomerates,Industrial Conglomerates,Capital Goods,Industrials,43.33M
AISP,"Airship AI Holdings, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,114.00M
AISPW,"Airship AI Holdings, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,119.39M
AIT,"Applied Industrial Technologies, Inc.",Industrial Distribution,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,Industrials,8.27B
AITR,AI Transportation Acquisition Corp,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,86.22M
AIV,Apartment Investment and Management Company,REIT - Residential,Residential REITs,Health Care REITs,Equity Real Estate Investment Trusts,Real Estate,1.18B
AIXI,Xiao-I Corporation,Software - Application,Application Software,Software,Software & Services,Information Technology,27.53M
AIZ,"Assurant, Inc.",Insurance - Property & Casualty,Property & Casualty Insurance,Insurance,Insurance,Financials,9.65B
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,Insurance Brokers,Insurance,Insurance,Financials,85.05B
AKA,a.k.a. Brands Holding Corp.,Apparel Retail,Apparel Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,94.63M
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,10.80B
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,1.71M
AKBA,"Akebia Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,496.34M
AKO.A,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,Soft Drinks & Non-alcoholic Beverages,Beverages,"Food, Beverage & Tobacco",Consumer Staples,3.24B
AKO.B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,Soft Drinks & Non-alcoholic Beverages,Beverages,"Food, Beverage & Tobacco",Consumer Staples,3.24B
AKR,Acadia Realty Trust,REIT - Retail,Retail REITs,Retail REITs,Equity Real Estate Investment Trusts,Real Estate,2.41B
AKRO,"Akero Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,2.97B
AKTX,"Akari Therapeutics, Plc",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,27.23M
AKYA,"Akoya Biosciences, Inc.",Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,54.55M
AL,Air Lease Corporation,Rental & Leasing Services,Specialized Consumer Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary,4.67B
ALAB,"Astera Labs, Inc.",Semiconductors,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,9.53B
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,52.16M
ALB,Albemarle Corporation,Specialty Chemicals,Specialty Chemicals,Chemicals,Materials,Materials,6.19B
ALBT,Avalon GloboCare Corp.,Real Estate Services,Real Estate Services,Real Estate Management & Development,Real Estate Management & Development,Real Estate,6.44M
ALC,Alcon Inc.,Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,45.88B
ALCO,"Alico, Inc.",Farm Products,Agricultural Products & Services,Food Products,"Food, Beverage & Tobacco",Consumer Staples,220.35M
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,51.53M
ALDF,Aldel Financial II Inc.,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,301.37M
ALDX,"Aldeyra Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,120.01M
ALE,"ALLETE, Inc.",Utilities - Diversified,Multi-Utilities,Multi-Utilities,Utilities,Utilities,3.75B
ALEC,"Alector, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,96.58M
ALEX,"Alexander & Baldwin, Inc.",REIT - Retail,Retail REITs,Retail REITs,Equity Real Estate Investment Trusts,Real Estate,1.21B
ALF,Centurion Acquisition Corp.,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,369.44M
ALG,Alamo Group Inc.,Farm & Heavy Construction Machinery,Agricultural & Farm Machinery,Machinery,Capital Goods,Industrials,2.01B
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,3.50B
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,12.24B
ALGS,"Aligos Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,27.45M
ALGT,Allegiant Travel Company,Airlines,Passenger Airlines,Passenger Airlines,Transportation,Industrials,768.81M
