Ticker,Name,Sub_Industry_Orig,Sub_Industry,Industry,Industry_Group,Sector,Market_Cap
NBIX,"Neurocrine Biosciences, Inc.",Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,9.98B
NBN,Northeast Bank,Banks - Regional,Regional Banks,Banks,Banks,Financials,744.87M
NBR,Nabors Industries Ltd.,Oil & Gas Drilling,Oil & Gas Drilling,Energy Equipment & Services,Energy,Energy,416.41M
NBTB,NBT Bancorp Inc.,Banks - Regional,Regional Banks,Banks,Banks,Financials,1.87B
NBTX,Nanobiotix S.A.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,161.47M
NBY,"NovaBay Pharmaceuticals, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,3.52M
NC,"NACCO Industries, Inc.",Thermal Coal,Coal & Consumable Fuels,"Oil, Gas & Consumable Fuels",Energy,Energy,273.14M
NCDL,Nuveen Churchill Direct Lending Corp.,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,817.30M
NCEW,New Century Logistics (BVI) Limited,Integrated Freight & Logistics,Air Freight & Logistics,Air Freight & Logistics,Transportation,Industrials,36.34M
NCI,Neo-Concept International Group Holdings Limited,Apparel Manufacturing,"Apparel, Accessories & Luxury Goods","Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,Consumer Discretionary,8.13M
NCL,Northann Corp.,"Furnishings, Fixtures & Appliances",Homefurnishing Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,11.89M
NCLH,Norwegian Cruise Line Holdings Ltd.,Travel Services,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,7.08B
NCMI,"National CineMedia, Inc.",Advertising Agencies,Advertising,Media,Media & Entertainment,Communication Services,554.02M
NCNA,NuCana plc,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,4.93M
NCNO,"nCino, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,2.79B
NCPL,Netcapital Inc.,Capital Markets,Diversified Capital Markets,Capital Markets,Financial Services,Financials,4.27M
NCRA,"Nocera, Inc.",Packaged Foods,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",Consumer Staples,12.05M
NCSM,"NCS Multistage Holdings, Inc.",Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy,68.63M
NCT,Intercont (Cayman) Limited,Marine Shipping,Marine Transportation,Marine Transportation,Transportation,Industrials,168.28M
NCTY,The9 Limited,Capital Markets,Diversified Capital Markets,Capital Markets,Financial Services,Financials,92.73M
NDAQ,"Nasdaq, Inc.",Financial Data & Stock Exchanges,Financial Exchanges & Data,Capital Markets,Financial Services,Financials,41.32B
NDLS,Noodles & Company,Restaurants,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,38.65M
NDRA,ENDRA Life Sciences Inc.,Diagnostics & Research,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,1.90M
